Estación;Utmy;Utmx
AL31;4177380;631134
AL62;4158442;641225
CA21;4188975;665320
CA52;4171939;670233
CA91;4174084;655462
CI32;4228482;652671
CI52;4234953;614311
CR32;4219246;615553
CR42;4228626;604030
JU12;4251007;637803
JU42;4280624;657918
JU52;4270147;664558
LO11;4162736;621083
LO21;4151777;615537
LO31;4142445;624681
LO41;4190613;604060
ML21;4211679;634664
MO12;4208022;648990
MO31;4215181;654934
MO41;4226447;669460
MO51;4225502;661952
MU21;4211733;675661
MU31;4196142;652374
MU62;4201022;664029
TP42;4182992;685178
